FEN,FEN + Next move,NL Format of FEN,NL Format of FEN + Next move
rn1qk1nr/1p4p1/p1p2p1p/2bppb2/P1QP2P1/R1P2N1B/1P2PPRP/1NB1K3 w - - 6 12,FEN state: rn1qk1nr/1p4p1/p1p2p1p/2bppb2/P1QP2P1/R1P2N1B/1P2PPRP/1NB1K3 w - - 6 12 ; Best movec4c5,"The current state of the chess board is: Black rook at a8, black knight at b8, black queen at d8, black king at e8, black knight at g8 and black rook at h8. Black pawn at b7 and black pawn at g7. Black pawn at a6, black pawn at c6, black pawn at f6 and black pawn at h6. Black bishop at c5, black pawn at d5, black pawn at e5 and black bishop at f5. White pawn at a4, white queen at c4, white pawn at d4 and white pawn at g4. White rook at a3, white pawn at c3, white knight at f3 and white bishop at h3. White pawn at b2, white pawn at e2, white pawn at f2, white rook at g2 and white pawn at h2. White knight at b1, white bishop at c1 and white king at e1. Both players have exhausted their castles. Half move number is 6. Full move number is 12. White to move.","Input: The current state of the chess board is: Black rook at a8, black knight at b8, black queen at d8, black king at e8, black knight at g8 and black rook at h8. Black pawn at b7 and black pawn at g7. Black pawn at a6, black pawn at c6, black pawn at f6 and black pawn at h6. Black bishop at c5, black pawn at d5, black pawn at e5 and black bishop at f5. White pawn at a4, white queen at c4, white pawn at d4 and white pawn at g4. White rook at a3, white pawn at c3, white knight at f3 and white bishop at h3. White pawn at b2, white pawn at e2, white pawn at f2, white rook at g2 and white pawn at h2. White knight at b1, white bishop at c1 and white king at e1. Both players have exhausted their castles. Half move number is 6. Full move number is 12. White to move. ; Output: Move from c4 to c5."
rnbqk1nr/pp1p4/1Np2p1p/4pP2/Pb4p1/BP5N/2PPP1PP/R2QKB1R b Qkq - 0 11,FEN state: rnbqk1nr/pp1p4/1Np2p1p/4pP2/Pb4p1/BP5N/2PPP1PP/R2QKB1R b Qkq - 0 11 ; Best moved8b6,"The current state of the chess board is: Black rook at a8, black knight at b8, black bishop at c8, black queen at d8, black king at e8, black knight at g8 and black rook at h8. Black pawn at a7, black pawn at b7 and black pawn at d7. White knight at b6, black pawn at c6, black pawn at f6 and black pawn at h6. Black pawn at e5 and white pawn at f5. White pawn at a4, black bishop at b4 and black pawn at g4. White bishop at a3, white pawn at b3 and white knight at h3. White pawn at c2, white pawn at d2, white pawn at e2, white pawn at g2 and white pawn at h2. White rook at a1, white queen at d1, white king at e1, white bishop at f1 and white rook at h1. White queenside, black kingside and black queenside castles are available. Half move number is 0. Full move number is 11. Black to move.","Input: The current state of the chess board is: Black rook at a8, black knight at b8, black bishop at c8, black queen at d8, black king at e8, black knight at g8 and black rook at h8. Black pawn at a7, black pawn at b7 and black pawn at d7. White knight at b6, black pawn at c6, black pawn at f6 and black pawn at h6. Black pawn at e5 and white pawn at f5. White pawn at a4, black bishop at b4 and black pawn at g4. White bishop at a3, white pawn at b3 and white knight at h3. White pawn at c2, white pawn at d2, white pawn at e2, white pawn at g2 and white pawn at h2. White rook at a1, white queen at d1, white king at e1, white bishop at f1 and white rook at h1. White queenside, black kingside and black queenside castles are available. Half move number is 0. Full move number is 11. Black to move. ; Output: Move from d8 to b6."
r1b2b2/1ppk3r/3p1np1/p6p/2NnpPp1/N3PQ2/PBPKB1RP/R7 w - - 0 21,FEN state: r1b2b2/1ppk3r/3p1np1/p6p/2NnpPp1/N3PQ2/PBPKB1RP/R7 w - - 0 21 ; Best movef3f1,"The current state of the chess board is: Black rook at a8, black bishop at c8 and black bishop at f8. Black pawn at b7, black pawn at c7, black king at d7 and black rook at h7. Black pawn at d6, black knight at f6 and black pawn at g6. Black pawn at a5 and black pawn at h5. White knight at c4, black knight at d4, black pawn at e4, white pawn at f4 and black pawn at g4. White knight at a3, white pawn at e3 and white queen at f3. White pawn at a2, white bishop at b2, white pawn at c2, white king at d2, white bishop at e2, white rook at g2 and white pawn at h2. White rook at a1. Both players have exhausted their castles. Half move number is 0. Full move number is 21. White to move.","Input: The current state of the chess board is: Black rook at a8, black bishop at c8 and black bishop at f8. Black pawn at b7, black pawn at c7, black king at d7 and black rook at h7. Black pawn at d6, black knight at f6 and black pawn at g6. Black pawn at a5 and black pawn at h5. White knight at c4, black knight at d4, black pawn at e4, white pawn at f4 and black pawn at g4. White knight at a3, white pawn at e3 and white queen at f3. White pawn at a2, white bishop at b2, white pawn at c2, white king at d2, white bishop at e2, white rook at g2 and white pawn at h2. White rook at a1. Both players have exhausted their castles. Half move number is 0. Full move number is 21. White to move. ; Output: Move from f3 to f1."
r1bqkb1r/1ppppNpp/p4p2/8/3P3P/PPP5/n3PPP1/RNBQKB1R b KQkq - 0 8,FEN state: r1bqkb1r/1ppppNpp/p4p2/8/3P3P/PPP5/n3PPP1/RNBQKB1R b KQkq - 0 8 ; Best movea2c3,"The current state of the chess board is: Black rook at a8, black bishop at c8, black queen at d8, black king at e8, black bishop at f8 and black rook at h8. Black pawn at b7, black pawn at c7, black pawn at d7, black pawn at e7, white knight at f7, black pawn at g7 and black pawn at h7. Black pawn at a6 and black pawn at f6. White pawn at d4 and white pawn at h4. White pawn at a3, white pawn at b3 and white pawn at c3. Black knight at a2, white pawn at e2, white pawn at f2 and white pawn at g2. White rook at a1, white knight at b1, white bishop at c1, white queen at d1, white king at e1, white bishop at f1 and white rook at h1. White kingside, white queenside, black kingside and black queenside castles are available. Half move number is 0. Full move number is 8. Black to move.","Input: The current state of the chess board is: Black rook at a8, black bishop at c8, black queen at d8, black king at e8, black bishop at f8 and black rook at h8. Black pawn at b7, black pawn at c7, black pawn at d7, black pawn at e7, white knight at f7, black pawn at g7 and black pawn at h7. Black pawn at a6 and black pawn at f6. White pawn at d4 and white pawn at h4. White pawn at a3, white pawn at b3 and white pawn at c3. Black knight at a2, white pawn at e2, white pawn at f2 and white pawn at g2. White rook at a1, white knight at b1, white bishop at c1, white queen at d1, white king at e1, white bishop at f1 and white rook at h1. White kingside, white queenside, black kingside and black queenside castles are available. Half move number is 0. Full move number is 8. Black to move. ; Output: Move from a2 to c3."
rnbq1b1r/ppp1ppp1/P2k3p/3p4/7n/R6N/1PPPPPPP/1NBQKB1R w K - 4 12,FEN state: rnbq1b1r/ppp1ppp1/P2k3p/3p4/7n/R6N/1PPPPPPP/1NBQKB1R w K - 4 12 ; Best moveg2g3,"The current state of the chess board is: Black rook at a8, black knight at b8, black bishop at c8, black queen at d8, black bishop at f8 and black rook at h8. Black pawn at a7, black pawn at b7, black pawn at c7, black pawn at e7, black pawn at f7 and black pawn at g7. White pawn at a6, black king at d6 and black pawn at h6. Black pawn at d5. Black knight at h4. White rook at a3 and white knight at h3. White pawn at b2, white pawn at c2, white pawn at d2, white pawn at e2, white pawn at f2, white pawn at g2 and white pawn at h2. White knight at b1, white bishop at c1, white queen at d1, white king at e1, white bishop at f1 and white rook at h1. White kingside is the only castle move available. Half move number is 4. Full move number is 12. White to move.","Input: The current state of the chess board is: Black rook at a8, black knight at b8, black bishop at c8, black queen at d8, black bishop at f8 and black rook at h8. Black pawn at a7, black pawn at b7, black pawn at c7, black pawn at e7, black pawn at f7 and black pawn at g7. White pawn at a6, black king at d6 and black pawn at h6. Black pawn at d5. Black knight at h4. White rook at a3 and white knight at h3. White pawn at b2, white pawn at c2, white pawn at d2, white pawn at e2, white pawn at f2, white pawn at g2 and white pawn at h2. White knight at b1, white bishop at c1, white queen at d1, white king at e1, white bishop at f1 and white rook at h1. White kingside is the only castle move available. Half move number is 4. Full move number is 12. White to move. ; Output: Move from g2 to g3."
r1b2b2/p2nkp2/2Ppp2r/4P3/3N2P1/2N5/PP1P1qPR/R1BK1B2 b - - 1 21,FEN state: r1b2b2/p2nkp2/2Ppp2r/4P3/3N2P1/2N5/PP1P1qPR/R1BK1B2 b - - 1 21 ; Best movef2f1,"The current state of the chess board is: Black rook at a8, black bishop at c8 and black bishop at f8. Black pawn at a7, black knight at d7, black king at e7 and black pawn at f7. White pawn at c6, black pawn at d6, black pawn at e6 and black rook at h6. White pawn at e5. White knight at d4 and white pawn at g4. White knight at c3. White pawn at a2, white pawn at b2, white pawn at d2, black queen at f2, white pawn at g2 and white rook at h2. White rook at a1, white bishop at c1, white king at d1 and white bishop at f1. Both players have exhausted their castles. Half move number is 1. Full move number is 21. Black to move.","Input: The current state of the chess board is: Black rook at a8, black bishop at c8 and black bishop at f8. Black pawn at a7, black knight at d7, black king at e7 and black pawn at f7. White pawn at c6, black pawn at d6, black pawn at e6 and black rook at h6. White pawn at e5. White knight at d4 and white pawn at g4. White knight at c3. White pawn at a2, white pawn at b2, white pawn at d2, black queen at f2, white pawn at g2 and white rook at h2. White rook at a1, white bishop at c1, white king at d1 and white bishop at f1. Both players have exhausted their castles. Half move number is 1. Full move number is 21. Black to move. ; Output: Move from f2 to f1."
2bqkbnr/rppppp1p/pN4p1/7n/6PP/BP3N2/P1PPPPB1/2RQK2R w Kk - 4 11,FEN state: 2bqkbnr/rppppp1p/pN4p1/7n/6PP/BP3N2/P1PPPPB1/2RQK2R w Kk - 4 11 ; Best moveb6c8,"The current state of the chess board is: Black bishop at c8, black queen at d8, black king at e8, black bishop at f8, black knight at g8 and black rook at h8. Black rook at a7, black pawn at b7, black pawn at c7, black pawn at d7, black pawn at e7, black pawn at f7 and black pawn at h7. Black pawn at a6, white knight at b6 and black pawn at g6. Black knight at h5. White pawn at g4 and white pawn at h4. White bishop at a3, white pawn at b3 and white knight at f3. White pawn at a2, white pawn at c2, white pawn at d2, white pawn at e2, white pawn at f2 and white bishop at g2. White rook at c1, white queen at d1, white king at e1 and white rook at h1. White kingside and black kingside castles are available. Half move number is 4. Full move number is 11. White to move.","Input: The current state of the chess board is: Black bishop at c8, black queen at d8, black king at e8, black bishop at f8, black knight at g8 and black rook at h8. Black rook at a7, black pawn at b7, black pawn at c7, black pawn at d7, black pawn at e7, black pawn at f7 and black pawn at h7. Black pawn at a6, white knight at b6 and black pawn at g6. Black knight at h5. White pawn at g4 and white pawn at h4. White bishop at a3, white pawn at b3 and white knight at f3. White pawn at a2, white pawn at c2, white pawn at d2, white pawn at e2, white pawn at f2 and white bishop at g2. White rook at c1, white queen at d1, white king at e1 and white rook at h1. White kingside and black kingside castles are available. Half move number is 4. Full move number is 11. White to move. ; Output: Move from b6 to c8."
r1bqkbnr/3pppp1/2n5/pp5p/1P1p4/P1N5/1BPPPPPP/R2QKBR1 w Qkq - 2 9,FEN state: r1bqkbnr/3pppp1/2n5/pp5p/1P1p4/P1N5/1BPPPPPP/R2QKBR1 w Qkq - 2 9 ; Best movec3b5,"The current state of the chess board is: Black rook at a8, black bishop at c8, black queen at d8, black king at e8, black bishop at f8, black knight at g8 and black rook at h8. Black pawn at d7, black pawn at e7, black pawn at f7 and black pawn at g7. Black knight at c6. Black pawn at a5, black pawn at b5 and black pawn at h5. White pawn at b4 and black pawn at d4. White pawn at a3 and white knight at c3. White bishop at b2, white pawn at c2, white pawn at d2, white pawn at e2, white pawn at f2, white pawn at g2 and white pawn at h2. White rook at a1, white queen at d1, white king at e1, white bishop at f1 and white rook at g1. White queenside, black kingside and black queenside castles are available. Half move number is 2. Full move number is 9. White to move.","Input: The current state of the chess board is: Black rook at a8, black bishop at c8, black queen at d8, black king at e8, black bishop at f8, black knight at g8 and black rook at h8. Black pawn at d7, black pawn at e7, black pawn at f7 and black pawn at g7. Black knight at c6. Black pawn at a5, black pawn at b5 and black pawn at h5. White pawn at b4 and black pawn at d4. White pawn at a3 and white knight at c3. White bishop at b2, white pawn at c2, white pawn at d2, white pawn at e2, white pawn at f2, white pawn at g2 and white pawn at h2. White rook at a1, white queen at d1, white king at e1, white bishop at f1 and white rook at g1. White queenside, black kingside and black queenside castles are available. Half move number is 2. Full move number is 9. White to move. ; Output: Move from c3 to b5."
1nbqk2r/1p1ppp2/r4n2/p1p4p/1P1PP1p1/P1N5/2P2PPP/R1bQKBNR w KQk - 0 11,FEN state: 1nbqk2r/1p1ppp2/r4n2/p1p4p/1P1PP1p1/P1N5/2P2PPP/R1bQKBNR w KQk - 0 11 ; Best movea1c1,"The current state of the chess board is: Black knight at b8, black bishop at c8, black queen at d8, black king at e8 and black rook at h8. Black pawn at b7, black pawn at d7, black pawn at e7 and black pawn at f7. Black rook at a6 and black knight at f6. Black pawn at a5, black pawn at c5 and black pawn at h5. White pawn at b4, white pawn at d4, white pawn at e4 and black pawn at g4. White pawn at a3 and white knight at c3. White pawn at c2, white pawn at f2, white pawn at g2 and white pawn at h2. White rook at a1, black bishop at c1, white queen at d1, white king at e1, white bishop at f1, white knight at g1 and white rook at h1. White kingside, white queenside and black kingside castles are available. Half move number is 0. Full move number is 11. White to move.","Input: The current state of the chess board is: Black knight at b8, black bishop at c8, black queen at d8, black king at e8 and black rook at h8. Black pawn at b7, black pawn at d7, black pawn at e7 and black pawn at f7. Black rook at a6 and black knight at f6. Black pawn at a5, black pawn at c5 and black pawn at h5. White pawn at b4, white pawn at d4, white pawn at e4 and black pawn at g4. White pawn at a3 and white knight at c3. White pawn at c2, white pawn at f2, white pawn at g2 and white pawn at h2. White rook at a1, black bishop at c1, white queen at d1, white king at e1, white bishop at f1, white knight at g1 and white rook at h1. White kingside, white queenside and black kingside castles are available. Half move number is 0. Full move number is 11. White to move. ; Output: Move from a1 to c1."
2r1k2r/p2p3p/bp2p2n/1Nb1PpP1/1n6/2PPQ2P/P5PR/1RBK1BN1 b k - 0 20,FEN state: 2r1k2r/p2p3p/bp2p2n/1Nb1PpP1/1n6/2PPQ2P/P5PR/1RBK1BN1 b k - 0 20 ; Best movec5e3,"The current state of the chess board is: Black rook at c8, black king at e8 and black rook at h8. Black pawn at a7, black pawn at d7 and black pawn at h7. Black bishop at a6, black pawn at b6, black pawn at e6 and black knight at h6. White knight at b5, black bishop at c5, white pawn at e5, black pawn at f5 and white pawn at g5. Black knight at b4. White pawn at c3, white pawn at d3, white queen at e3 and white pawn at h3. White pawn at a2, white pawn at g2 and white rook at h2. White rook at b1, white bishop at c1, white king at d1, white bishop at f1 and white knight at g1. Black kingside is the only castle move available. Half move number is 0. Full move number is 20. Black to move.","Input: The current state of the chess board is: Black rook at c8, black king at e8 and black rook at h8. Black pawn at a7, black pawn at d7 and black pawn at h7. Black bishop at a6, black pawn at b6, black pawn at e6 and black knight at h6. White knight at b5, black bishop at c5, white pawn at e5, black pawn at f5 and white pawn at g5. Black knight at b4. White pawn at c3, white pawn at d3, white queen at e3 and white pawn at h3. White pawn at a2, white pawn at g2 and white rook at h2. White rook at b1, white bishop at c1, white king at d1, white bishop at f1 and white knight at g1. Black kingside is the only castle move available. Half move number is 0. Full move number is 20. Black to move. ; Output: Move from c5 to e3."
1nq4r/rk2n3/pp6/B1pp1ppp/2P3b1/1P1BPN1P/P2PNPP1/R3K2R w Q - 2 21,FEN state: 1nq4r/rk2n3/pp6/B1pp1ppp/2P3b1/1P1BPN1P/P2PNPP1/R3K2R w Q - 2 21 ; Best moveh3g4,"The current state of the chess board is: Black knight at b8, black queen at c8 and black rook at h8. Black rook at a7, black king at b7 and black knight at e7. Black pawn at a6 and black pawn at b6. White bishop at a5, black pawn at c5, black pawn at d5, black pawn at f5, black pawn at g5 and black pawn at h5. White pawn at c4 and black bishop at g4. White pawn at b3, white bishop at d3, white pawn at e3, white knight at f3 and white pawn at h3. White pawn at a2, white pawn at d2, white knight at e2, white pawn at f2 and white pawn at g2. White rook at a1, white king at e1 and white rook at h1. White queenside is the only castle move available. Half move number is 2. Full move number is 21. White to move.","Input: The current state of the chess board is: Black knight at b8, black queen at c8 and black rook at h8. Black rook at a7, black king at b7 and black knight at e7. Black pawn at a6 and black pawn at b6. White bishop at a5, black pawn at c5, black pawn at d5, black pawn at f5, black pawn at g5 and black pawn at h5. White pawn at c4 and black bishop at g4. White pawn at b3, white bishop at d3, white pawn at e3, white knight at f3 and white pawn at h3. White pawn at a2, white pawn at d2, white knight at e2, white pawn at f2 and white pawn at g2. White rook at a1, white king at e1 and white rook at h1. White queenside is the only castle move available. Half move number is 2. Full move number is 21. White to move. ; Output: Move from h3 to g4."
r1b2k1r/p1np4/n5pb/2P1pp1p/2P1NP1P/3P1NP1/1PQ1P3/R1B1KB1R w KQ - 1 18,FEN state: r1b2k1r/p1np4/n5pb/2P1pp1p/2P1NP1P/3P1NP1/1PQ1P3/R1B1KB1R w KQ - 1 18 ; Best movee4d6,"The current state of the chess board is: Black rook at a8, black bishop at c8, black king at f8 and black rook at h8. Black pawn at a7, black knight at c7 and black pawn at d7. Black knight at a6, black pawn at g6 and black bishop at h6. White pawn at c5, black pawn at e5, black pawn at f5 and black pawn at h5. White pawn at c4, white knight at e4, white pawn at f4 and white pawn at h4. White pawn at d3, white knight at f3 and white pawn at g3. White pawn at b2, white queen at c2 and white pawn at e2. White rook at a1, white bishop at c1, white king at e1, white bishop at f1 and white rook at h1. White kingside and white queenside castles are available. Half move number is 1. Full move number is 18. White to move.","Input: The current state of the chess board is: Black rook at a8, black bishop at c8, black king at f8 and black rook at h8. Black pawn at a7, black knight at c7 and black pawn at d7. Black knight at a6, black pawn at g6 and black bishop at h6. White pawn at c5, black pawn at e5, black pawn at f5 and black pawn at h5. White pawn at c4, white knight at e4, white pawn at f4 and white pawn at h4. White pawn at d3, white knight at f3 and white pawn at g3. White pawn at b2, white queen at c2 and white pawn at e2. White rook at a1, white bishop at c1, white king at e1, white bishop at f1 and white rook at h1. White kingside and white queenside castles are available. Half move number is 1. Full move number is 18. White to move. ; Output: Move from e4 to d6."
rnb1kb1r/1p1p1p2/p1p1pnpp/6P1/PqP5/1Q2P2N/RP1P1PBP/1NB2RK1 b kq - 0 10,FEN state: rnb1kb1r/1p1p1p2/p1p1pnpp/6P1/PqP5/1Q2P2N/RP1P1PBP/1NB2RK1 b kq - 0 10 ; Best moveb4b3,"The current state of the chess board is: Black rook at a8, black knight at b8, black bishop at c8, black king at e8, black bishop at f8 and black rook at h8. Black pawn at b7, black pawn at d7 and black pawn at f7. Black pawn at a6, black pawn at c6, black pawn at e6, black knight at f6, black pawn at g6 and black pawn at h6. White pawn at g5. White pawn at a4, black queen at b4 and white pawn at c4. White queen at b3, white pawn at e3 and white knight at h3. White rook at a2, white pawn at b2, white pawn at d2, white pawn at f2, white bishop at g2 and white pawn at h2. White knight at b1, white bishop at c1, white rook at f1 and white king at g1. Black kingside and black queenside castles are available. Half move number is 0. Full move number is 10. Black to move.","Input: The current state of the chess board is: Black rook at a8, black knight at b8, black bishop at c8, black king at e8, black bishop at f8 and black rook at h8. Black pawn at b7, black pawn at d7 and black pawn at f7. Black pawn at a6, black pawn at c6, black pawn at e6, black knight at f6, black pawn at g6 and black pawn at h6. White pawn at g5. White pawn at a4, black queen at b4 and white pawn at c4. White queen at b3, white pawn at e3 and white knight at h3. White rook at a2, white pawn at b2, white pawn at d2, white pawn at f2, white bishop at g2 and white pawn at h2. White knight at b1, white bishop at c1, white rook at f1 and white king at g1. Black kingside and black queenside castles are available. Half move number is 0. Full move number is 10. Black to move. ; Output: Move from b4 to b3."
1n2k1r1/1p1bb1pp/1q1p1p1n/1pp5/r2P1P2/P1PK2pN/3BP2P/R2Q1B1R b - - 0 18,FEN state: 1n2k1r1/1p1bb1pp/1q1p1p1n/1pp5/r2P1P2/P1PK2pN/3BP2P/R2Q1B1R b - - 0 18 ; Best movec5c4,"The current state of the chess board is: Black knight at b8, black king at e8 and black rook at g8. Black pawn at b7, black bishop at d7, black bishop at e7, black pawn at g7 and black pawn at h7. Black queen at b6, black pawn at d6, black pawn at f6 and black knight at h6. Black pawn at b5 and black pawn at c5. Black rook at a4, white pawn at d4 and white pawn at f4. White pawn at a3, white pawn at c3, white king at d3, black pawn at g3 and white knight at h3. White bishop at d2, white pawn at e2 and white pawn at h2. White rook at a1, white queen at d1, white bishop at f1 and white rook at h1. Both players have exhausted their castles. Half move number is 0. Full move number is 18. Black to move.","Input: The current state of the chess board is: Black knight at b8, black king at e8 and black rook at g8. Black pawn at b7, black bishop at d7, black bishop at e7, black pawn at g7 and black pawn at h7. Black queen at b6, black pawn at d6, black pawn at f6 and black knight at h6. Black pawn at b5 and black pawn at c5. Black rook at a4, white pawn at d4 and white pawn at f4. White pawn at a3, white pawn at c3, white king at d3, black pawn at g3 and white knight at h3. White bishop at d2, white pawn at e2 and white pawn at h2. White rook at a1, white queen at d1, white bishop at f1 and white rook at h1. Both players have exhausted their castles. Half move number is 0. Full move number is 18. Black to move. ; Output: Move from c5 to c4."
rnq1r3/p2pk2p/1p6/Pbp2p2/2B3np/R1NP2P1/1bP2P2/1N2K2R w - - 0 19,FEN state: rnq1r3/p2pk2p/1p6/Pbp2p2/2B3np/R1NP2P1/1bP2P2/1N2K2R w - - 0 19 ; Best movec4b5,"The current state of the chess board is: Black rook at a8, black knight at b8, black queen at c8 and black rook at e8. Black pawn at a7, black pawn at d7, black king at e7 and black pawn at h7. Black pawn at b6. White pawn at a5, black bishop at b5, black pawn at c5 and black pawn at f5. White bishop at c4, black knight at g4 and black pawn at h4. White rook at a3, white knight at c3, white pawn at d3 and white pawn at g3. Black bishop at b2, white pawn at c2 and white pawn at f2. White knight at b1, white king at e1 and white rook at h1. Both players have exhausted their castles. Half move number is 0. Full move number is 19. White to move.","Input: The current state of the chess board is: Black rook at a8, black knight at b8, black queen at c8 and black rook at e8. Black pawn at a7, black pawn at d7, black king at e7 and black pawn at h7. Black pawn at b6. White pawn at a5, black bishop at b5, black pawn at c5 and black pawn at f5. White bishop at c4, black knight at g4 and black pawn at h4. White rook at a3, white knight at c3, white pawn at d3 and white pawn at g3. Black bishop at b2, white pawn at c2 and white pawn at f2. White knight at b1, white king at e1 and white rook at h1. Both players have exhausted their castles. Half move number is 0. Full move number is 19. White to move. ; Output: Move from c4 to b5."
1Qbq1r2/2pp1p2/4k3/4P1pp/PbP3n1/Bn2PB1N/3P3P/RN2K2R b KQ - 2 18,FEN state: 1Qbq1r2/2pp1p2/4k3/4P1pp/PbP3n1/Bn2PB1N/3P3P/RN2K2R b KQ - 2 18 ; Best moveg4e5,"The current state of the chess board is: White queen at b8, black bishop at c8, black queen at d8 and black rook at f8. Black pawn at c7, black pawn at d7 and black pawn at f7. Black king at e6. White pawn at e5, black pawn at g5 and black pawn at h5. White pawn at a4, black bishop at b4, white pawn at c4 and black knight at g4. White bishop at a3, black knight at b3, white pawn at e3, white bishop at f3 and white knight at h3. White pawn at d2 and white pawn at h2. White rook at a1, white knight at b1, white king at e1 and white rook at h1. White kingside and white queenside castles are available. Half move number is 2. Full move number is 18. Black to move.","Input: The current state of the chess board is: White queen at b8, black bishop at c8, black queen at d8 and black rook at f8. Black pawn at c7, black pawn at d7 and black pawn at f7. Black king at e6. White pawn at e5, black pawn at g5 and black pawn at h5. White pawn at a4, black bishop at b4, white pawn at c4 and black knight at g4. White bishop at a3, black knight at b3, white pawn at e3, white bishop at f3 and white knight at h3. White pawn at d2 and white pawn at h2. White rook at a1, white knight at b1, white king at e1 and white rook at h1. White kingside and white queenside castles are available. Half move number is 2. Full move number is 18. Black to move. ; Output: Move from g4 to e5."
1rbqk1r1/1p1pbp2/2p3p1/p2QP2p/P3B3/N1P1P2N/RP1nK1PP/2B4R w - - 2 19,FEN state: 1rbqk1r1/1p1pbp2/2p3p1/p2QP2p/P3B3/N1P1P2N/RP1nK1PP/2B4R w - - 2 19 ; Best moved5d2,"The current state of the chess board is: Black rook at b8, black bishop at c8, black queen at d8, black king at e8 and black rook at g8. Black pawn at b7, black pawn at d7, black bishop at e7 and black pawn at f7. Black pawn at c6 and black pawn at g6. Black pawn at a5, white queen at d5, white pawn at e5 and black pawn at h5. White pawn at a4 and white bishop at e4. White knight at a3, white pawn at c3, white pawn at e3 and white knight at h3. White rook at a2, white pawn at b2, black knight at d2, white king at e2, white pawn at g2 and white pawn at h2. White bishop at c1 and white rook at h1. Both players have exhausted their castles. Half move number is 2. Full move number is 19. White to move.","Input: The current state of the chess board is: Black rook at b8, black bishop at c8, black queen at d8, black king at e8 and black rook at g8. Black pawn at b7, black pawn at d7, black bishop at e7 and black pawn at f7. Black pawn at c6 and black pawn at g6. Black pawn at a5, white queen at d5, white pawn at e5 and black pawn at h5. White pawn at a4 and white bishop at e4. White knight at a3, white pawn at c3, white pawn at e3 and white knight at h3. White rook at a2, white pawn at b2, black knight at d2, white king at e2, white pawn at g2 and white pawn at h2. White bishop at c1 and white rook at h1. Both players have exhausted their castles. Half move number is 2. Full move number is 19. White to move. ; Output: Move from d5 to d2."
rn2kb1r/p5p1/1pp1p2n/RP5p/2PP2N1/N6P/1B2PP2/4KB1q w q - 0 22,FEN state: rn2kb1r/p5p1/1pp1p2n/RP5p/2PP2N1/N6P/1B2PP2/4KB1q w q - 0 22 ; Best movea5a4,"The current state of the chess board is: Black rook at a8, black knight at b8, black king at e8, black bishop at f8 and black rook at h8. Black pawn at a7 and black pawn at g7. Black pawn at b6, black pawn at c6, black pawn at e6 and black knight at h6. White rook at a5, white pawn at b5 and black pawn at h5. White pawn at c4, white pawn at d4 and white knight at g4. White knight at a3 and white pawn at h3. White bishop at b2, white pawn at e2 and white pawn at f2. White king at e1, white bishop at f1 and black queen at h1. Black queenside is the only castle move available. Half move number is 0. Full move number is 22. White to move.","Input: The current state of the chess board is: Black rook at a8, black knight at b8, black king at e8, black bishop at f8 and black rook at h8. Black pawn at a7 and black pawn at g7. Black pawn at b6, black pawn at c6, black pawn at e6 and black knight at h6. White rook at a5, white pawn at b5 and black pawn at h5. White pawn at c4, white pawn at d4 and white knight at g4. White knight at a3 and white pawn at h3. White bishop at b2, white pawn at e2 and white pawn at f2. White king at e1, white bishop at f1 and black queen at h1. Black queenside is the only castle move available. Half move number is 0. Full move number is 22. White to move. ; Output: Move from a5 to a4."
r2k2nr/pp1b2p1/2np3p/2p2pP1/P1P1pP1R/B6R/Q2PP3/1N2KBN1 b - - 2 17,FEN state: r2k2nr/pp1b2p1/2np3p/2p2pP1/P1P1pP1R/B6R/Q2PP3/1N2KBN1 b - - 2 17 ; Best moveg8e7,"The current state of the chess board is: Black rook at a8, black king at d8, black knight at g8 and black rook at h8. Black pawn at a7, black pawn at b7, black bishop at d7 and black pawn at g7. Black knight at c6, black pawn at d6 and black pawn at h6. Black pawn at c5, black pawn at f5 and white pawn at g5. White pawn at a4, white pawn at c4, black pawn at e4, white pawn at f4 and white rook at h4. White bishop at a3 and white rook at h3. White queen at a2, white pawn at d2 and white pawn at e2. White knight at b1, white king at e1, white bishop at f1 and white knight at g1. Both players have exhausted their castles. Half move number is 2. Full move number is 17. Black to move.","Input: The current state of the chess board is: Black rook at a8, black king at d8, black knight at g8 and black rook at h8. Black pawn at a7, black pawn at b7, black bishop at d7 and black pawn at g7. Black knight at c6, black pawn at d6 and black pawn at h6. Black pawn at c5, black pawn at f5 and white pawn at g5. White pawn at a4, white pawn at c4, black pawn at e4, white pawn at f4 and white rook at h4. White bishop at a3 and white rook at h3. White queen at a2, white pawn at d2 and white pawn at e2. White knight at b1, white king at e1, white bishop at f1 and white knight at g1. Both players have exhausted their castles. Half move number is 2. Full move number is 17. Black to move. ; Output: Move from g8 to e7."
